,2LD,SS,SS_url,i_2LD,i_url,isPhishing,language,title,url,xLink
0,1.0,0.022727272727272728,0.0761904761904762,0.02586206896551724,0.4,1,0.0,1.0,0.017391304347826087,1.0
1,0.5,0.0019664804469273745,0.046948356807511735,0.022953328232593728,0.4857142857142857,1,0.0,1.0,0.017857142857142856,0.2222222222222222
2,0.625,0.0011305822498586771,0.004132231404958678,0.017724413950829045,0.05555555555555555,1,0.0,1.0,0.0025464491181741017,0.5
3,0.5384615384615384,0.015527950310559006,0.01453104359313078,0.014615134784020786,0.6304347826086957,1,0.0,1.0,0.006216811293873851,0.5714285714285714
4,0.38461538461538464,0.0017265894779605931,0.016611295681063124,0.011093502377179081,0.38636363636363635,1,0.0,1.0,0.0015384615384615385,0.2857142857142857
5,0.5,0.0009854713368622594,0.06613226452905811,0.00027689325764917625,0.6829268292682927,1,0.0,1.0,0.007931756958994313,0.2857142857142857
6,0.4,0.0016499316456889644,0.06862745098039216,0.028066528066528068,0.46153846153846156,1,0.0,1.0,1.0,0.5714285714285714
7,0.6,0.004452022354835654,0.02841530054644809,0.009146341463414634,0.4339622641509434,1,0.0,1.0,0.007132132132132132,0.2222222222222222
8,0.8461538461538461,0.04921259842519685,0.029504741833508957,0.013831258644536652,0.5714285714285714,1,0.043478260869565216,1.0,0.020703933747412008,0.2857142857142857
9,0.6190476190476191,0.004555808656036446,0.015503875968992248,0.007575757575757576,0.08695652173913043,1,0.0,1.0,0.002793296089385475,1.0
10,0.4482758620689655,0.007751937984496124,0.02783964365256125,0.027102154273801252,0.5789473684210527,1,0.0,1.0,0.03314917127071823,1.0
11,0.42857142857142855,0.018194070080862535,0.00819672131147541,0.0012099213551119178,0.058823529411764705,1,0.1111111111111111,1.0,0.025974025974025976,1.0
12,0.3488372093023256,0.022222222222222223,0.12101910828025478,0.029383886255924172,0.6666666666666666,1,0.0,1.0,0.008204193254329991,0.5
13,0.5652173913043478,0.0004432624113475177,0.0013850415512465374,0.011687571265678449,0.041666666666666664,1,0.0,1.0,0.0006134969325153375,0.2857142857142857
14,0.5,0.12598425196850394,0.0031746031746031746,0.0033500837520938024,0.06896551724137931,1,0.0,1.0,0.007547169811320755,0.2857142857142857
15,0.625,0.009204336265084885,0.021395348837209303,0.028873917228103944,0.6060606060606061,1,0.0,1.0,0.04228855721393035,1.0
16,0.7647058823529411,0.0021551724137931034,0.01303538175046555,0.0009161704076958314,0.4090909090909091,1,0.0,1.0,0.00076103500761035,0.2857142857142857
17,0.5789473684210527,0.005921651989067719,0.11483253588516747,0.026936026936026935,0.6060606060606061,1,0.1111111111111111,1.0,0.011332973556395036,0.5
18,0.5294117647058824,0.0027124773960217,0.013503649635036497,0.007346938775510204,0.6037735849056604,1,0.0,1.0,0.003434816549570648,0.6
19,0.6470588235294118,0.0013268465280849183,0.03421633554083885,0.00749063670411985,0.6136363636363636,1,0.0,1.0,0.002805049088359046,0.2857142857142857
